"Actual","Predicted"
19,"19"
18,"18"
20,"20"
18,"18"
13,"13"
14,"14"
18,"18"
22,"22"
3,"3"
19,"19"
18,"6"
0,"0"
6,"15"
20,"20"
2,"2"
3,"3"
13,"13"
1,"1"
14,"14"
19,"19"
14,"14"
17,"17"
3,"3"
14,"14"
14,"14"
19,"19"
0,"0"
25,"25"
1,"1"
21,"21"
15,"15"
19,"19"
24,"24"
24,"24"
2,"2"
13,"13"
18,"18"
18,"18"
20,"20"
20,"20"
25,"25"
14,"14"
3,"3"
14,"14"
24,"24"
16,"16"
15,"15"
18,"18"
11,"11"
24,"24"
18,"18"
18,"18"
4,"4"
22,"22"
20,"20"
19,"19"
14,"14"
1,"1"
18,"18"
14,"14"
12,"12"
0,"0"
15,"15"
14,"14"
21,"21"
17,"17"
18,"18"
17,"17"
14,"14"
20,"20"
14,"14"
0,"0"
20,"20"
2,"2"
14,"14"
18,"18"
14,"14"
12,"12"
17,"17"
18,"18"
14,"14"
14,"14"
1,"1"
14,"14"
2,"2"
13,"13"
19,"19"
14,"14"
12,"12"
18,"18"
15,"15"
3,"3"
14,"14"
15,"15"
12,"12"
23,"23"
24,"24"
24,"24"
14,"14"
23,"23"
14,"14"
19,"19"
20,"20"
5,"5"
19,"19"
14,"14"
20,"20"
19,"19"
19,"19"
20,"20"
13,"13"
20,"20"
2,"2"
3,"3"
9,"9"
2,"2"
19,"19"
17,"17"
15,"15"
3,"3"
2,"2"
15,"15"
2,"2"
1,"1"
13,"13"
18,"18"
18,"18"
14,"14"
18,"18"
13,"13"
19,"19"
11,"11"
13,"13"
14,"14"
14,"14"
19,"19"
9,"9"
25,"25"
24,"24"
19,"19"
18,"18"
14,"14"
18,"18"
20,"20"
18,"18"
20,"20"
3,"3"
1,"1"
0,"3"
11,"11"
20,"20"
10,"10"
18,"18"
25,"25"
14,"14"
14,"14"
14,"14"
20,"20"
24,"24"
17,"17"
22,"22"
23,"23"
24,"24"
7,"7"
0,"0"
14,"14"
2,"2"
18,"18"
18,"18"
